========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 103, obj:-49.69271447, gap:4.3e-04, pinf:7.9e-04, dinf:2.1e-04, gradnorm:1.9e-02, r:10, p:17, sigma:64.000, time:280.36s
Iter 104, obj:-49.68954322, gap:3.9e-04, pinf:7.7e-04, dinf:2.0e-04, gradnorm:1.9e-02, r:10, p:16, sigma:64.000, time:282.94s
Iter 105, obj:-49.69001123, gap:4.0e-04, pinf:7.6e-04, dinf:2.0e-04, gradnorm:1.8e-02, r:9, p:16, sigma:64.000, time:285.54s
Iter 106, obj:-49.68956913, gap:3.9e-04, pinf:7.6e-04, dinf:1.8e-04, gradnorm:1.7e-02, r:8, p:15, sigma:64.000, time:288.14s
Iter 107, obj:-49.68783522, gap:3.5e-04, pinf:7.3e-04, dinf:1.8e-04, gradnorm:1.6e-02, r:9, p:14, sigma:64.000, time:290.73s
Iter 108, obj:-49.68764520, gap:3.4e-04, pinf:7.2e-04, dinf:1.7e-04, gradnorm:1.6e-02, r:8, p:15, sigma:64.000, time:293.33s
Iter 109, obj:-49.68048662, gap:2.7e-04, pinf:7.2e-04, dinf:1.7e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:295.89s
Iter 110, obj:-49.68109906, gap:3.1e-04, pinf:7.2e-04, dinf:1.6e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:298.47s
Iter 111, obj:-49.68471597, gap:3.3e-04, pinf:7.1e-04, dinf:1.6e-04, gradnorm:1.5e-02, r:8, p:14, sigma:64.000, time:301.05s
Iter 112, obj:-49.68271510, gap:3.3e-04, pinf:7.0e-04, dinf:1.5e-04, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:303.62s
Iter 113, obj:-49.68091728, gap:3.0e-04, pinf:7.0e-04, dinf:1.5e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:306.18s
